Hours_Worked,Sleep_Hours,Bugs,Deadline_Days,Coffee_Cups,Meetings,Interruptions,Experience_Years,Code_Complexity,Remote_Work,Stress_Level,,,,,,,,,,,,,,
10,8,25,53,4,9,2,Senior,Medium,Yes,58.52103268,,,,,,,,,,,,,,
7,8,33,33,2,6,9,Junior,Medium,Yes,47.46165102,,,,,,,,,,,,,,
14,8,44,54,10,12,2,Junior,Low,No,59.21157968,,,,,,,,,,,,,,
11,6,5,46,0,13,9,Mid,Low,Yes,100,,,,,,,,,,,,,,
8,7,36,23,9,3,2,Junior,Medium,Yes,28.78495666,,,,,,,,,,,,,,
10,6,32,53,5,7,4,Senior,Medium,No,68.7988629,,,,,,,,,,,,,,
13,4,21,21,1,4,4,Senior,High,No,100,,,,,,,,,,,,,,
6,4,20,4,2,0,3,Mid,Medium,Yes,100,,,,,,,,,,,,,,
10,7,5,55,0,3,0,Junior,Medium,Yes,42.81704437,,,,,,,,,,,,,,
14,6,5,32,8,2,4,Junior,Medium,No,46.18384953,,,,,,,,,,,,,,
,7,12,5,3,4,6,2,Medium,Yes,65.59,,,,,,,,,,,,,,
14,3,47,57,7,8,9,Junior,High,No,100,,,,,,,,,,,,,,
11,8,3,35,1,7,4,Senior,Low,No,45.63571998,,,,,,,,,,,,,,
8,8,29,46,10,0,3,Mid,Medium,Yes,33.13825169,,,,,,,,,,,,,,
7,7,10,19,7,5,5,Junior,Low,No,16.53760263,,,,,,,,,,,,,,
11,4,29,18,8,8,9,Senior,Low,No,100,,,,,,,,,,,,,,
11,4,30,34,0,6,3,Mid,High,No,100,,,,,,,,,,,,,,
6,8,23,51,4,3,6,Mid,Low,Yes,21.25397045,,,,,,,,,,,,,,
9,7,8,42,7,12,6,Junior,High,No,69.02368844,,,,,,,,,,,,,,
8,6,2,16,10,16,1,Senior,Low,No,26.19223282,,,,,,,,,,,,,,
5,4,50,58,1,1,2,Senior,High,No,100,,,,,,,,,,,,,,
11,6,30,44,3,4,0,Mid,Low,No,68.71191275,,,,,,,,,,,,,,
15,4,39,42,6,11,7,Mid,High,No,100,,,,,,,,,,,,,,
9,4,36,33,2,20,8,Junior,High,Yes,100,,,,,,,,,,,,,,
5,5,35,8,4,7,3,Junior,Low,Yes,62.28601375,,,,,,,,,,,,,,
,10,45,,6,0,4,Mid,Low,Yes,43.37,,,,,,,,,,,,,,
15,4,23,25,7,5,5,Senior,Medium,Yes,100,,,,,,,,,,,,,,
8,3,30,1,9,7,8,Senior,Medium,No,100,,,,,,,,,,,,,,
4,7,5,52,2,17,5,Mid,Low,Yes,40.1065898,,,,,,,,,,,,,,
15,7,1,8,3,2,8,Senior,Medium,Yes,39.84102426,,,,,,,,,,,,,,
13,6,19,8,8,11,3,Junior,High,Yes,72.51852636,,,,,,,,,,,,,,
15,10,7,25,,20,,Mid,Low,No,,,,,,,,,,,,,,,
9,4,27,39,6,2,7,Junior,Low,No,100,,,,,,,,,,,,,,
15,3,10,16,0,5,8,Mid,High,No,100,,,,,,,,,,,,,,
12,6,3,0,3,1,3,Mid,High,Yes,100,,,,,,,,,,,,,,
4,5,14,24,3,11,4,Mid,Medium,Yes,63.05351888,,,,,,,,,,,,,,
14,6,5,60,8,1,7,Mid,Medium,No,51.23461559,,,,,,,,,,,,,,
14,6,48,42,5,5,9,Senior,High,No,78.80105605,,,,,,,,,,,,,,
13,4,29,39,8,16,5,Junior,High,Yes,100,,,,,,,,,,,,,,
16,10,,8,6,1,0,Mid,Low,No,72.54,,,,,,,,,,,,,,
15,5,37,41,5,2,6,Junior,Low,No,87.09556918,,,,,,,,,,,,,,
15,6,50,24,5,1,2,Mid,Low,Yes,63.93449045,,,,,,,,,,,,,,
6,3,1,38,4,19,6,Senior,High,No,100,,,,,,,,,,,,,,
15,3,14,34,4,7,7,Mid,Low,Yes,100,,,,,,,,,,,,,,
10,7,10,2,1,11,9,Junior,Medium,Yes,100,,,,,,,,,,,,,,
7,5,7,49,7,3,5,Senior,Medium,No,49.13637778,,,,,,,,,,,,,,
12,5,25,36,7,4,9,Mid,Low,Yes,96.61437474,,,,,,,,,,,,,,
6,7,50,43,10,12,8,Junior,Low,Yes,69.36956454,,,,,,,,,,,,,,
